"product_uid","product_description"
100021,"Installed in parks and backyards across the globe, Rain Bird's 1800 Series is the #1 selling commercial-grade pop-up sprinkler in the world. Chosen for its reliability, heavy-duty materials and versatility, the 1800 Series offers a broad selection of spray heads for watering shrubs, small lawns and irregularly shaped planting areas. Precision spray heads and nozzles customize your watering system to cover virtually any configuration of lawn or garden - not the sidewalk or driveway. The 1800 Series offers Rain Bird's patented pop-up mechanism for out-of-sight retraction into the lawn when not in operation. A wide choice of nozzles provides full circle, partial circle coverage or infinite pattern adjustment for optimum head-to-head coverage.Spray distance from 8 ft. to 15 ft.Patented close-in watering for most efficient uniform water coverage, resulting in the elimination of dry brown spotsHeavy-duty stainless-steel spring helps ensure flush retractionPop-up sprinkler head features a top-adjustment screw to adjust the spray distance4 in pop-up heightDual spray technology for water efficiencyReduces water waste in windy conditionsNote: Product may vary by store."
100022,"The Samsung 4.2 cu. ft. Front Load Washer with Steam in White is a high-efficiency ENERGY STAR/CEE Tier 3-rated washer. It's equipped with vibration-reduction technology and cleans your toughest stains. It has the capacity to wash a king size comforter, and the stainless steel diamond drum is gentler on clothes than traditional washers, while the Pure Cycle keeps the drum fresh. It offers flexibility with nine cycles and was constructed with premium materials and backed by a 10-year manufacturer warranty on the motor.4.2 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry roomStainless steel diamond drum won't rust or damage clothingSanitizing cycle for a cleaner wash ensures the right water temperature and activates the NSF sanitize cycle for 99.9% bacteria-free laundrySteam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stainsFeatures nine cycles: eco wash, normal, heavy duty, permanent press, sanitize, bedding, deep steam, delicates and woolENERGY STAR- and CEE Tier 3-ratedElectronic controls provide easy 1-touch operation and cycle display timePreset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best resultsAutomatic water level adjustment helps save on energy costsDelay start feature begins operation when it's most convenient for your scheduleVibration-reduction technology with special sensors keep the drum balanced, so you hardly know the washer is onErgonomic front-load design makes loading and unloading simple and easyStackable design provides all-in-1 vertical look to maximize floor spacePedestal shown in product image is not included with purchase and is offered separately during appliance checkoutCan only be used with high-efficiency detergent, typically two tablespoons per loadPlease note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout.Click here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances"
100023,"Quikrete 80 lb. Crack-Resistant Concrete is designed to significantly reduce the amount of cracking caused by drying shrinkage. This concrete is ideal for driveways, walkways, floors, sidewalks and patios. The special blend of cement, sand, gravel, fibers and admixtures makes this the perfect concrete for both the professional and novice user who wants to tackle a concrete project.Designed to be used in slab-on-grade applications without the use of wire meshReduces the amount of cracking caused by drying shrinkageOffers superior workabilityProvides superior impact resistance4,000 PSI concrete mixNote: Product may vary by store"
100024,"From Smartphones to refrigerators and everything in between, a gas-free 1250-Watt generator for any situation. Silent, safe, and easy to use indoors or out. Powerful enough to back-up critical appliances - refrigerators and freezers - as well as home health care equipment and power tools. Whether it is for back-up power, camping, tailgating, or light duty construction, the Yeti 1250 generator gets it done.Power lights, tools, refrigerators, freezers and health care equipmentSilent and safe, no noise or fumesPower tools, lights, refrigerators, freezers and health care equipmentSafe to operate indoors; no cords coming from outsideHome Depot Protection Plan:"
100025,"Save your back and make moving easier with this telescopic furniture dolly. Easily adjust the sturdy stainless steel bars to fit larger furniture. The rubber swivel wheels make moving large, heavy objects around corners a breeze and the rear locking wheels ensure your furniture won't roll away.Easy assemblyTelescopic dollyRubber swivel wheels2 locking wheels4 sturdy PVC corner pieces4 sturdy stainless steel polesWeight limit: 220 lbs.Each side extends from 21 in. to 31 in. in length"
100026,"Our 10 ft. x 10 ft. (100 sq. ft.) Yorkstone patio is uniquely designed in a basketweave pattern. Add this beautiful addition to your backyard and get the expensive natural stone look at a fraction of the price. Its an entire 10 ft. x 10 ft. patio on one pallet.Beautiful color blend with a natural stone textureIncludes two different sized patio blocks, 12 in. x 24 in. and 24 in. x 24 in.Printed pattern included in each pallet for an easy installation visualUse to make a basket weave style walkwayPurchase multiple patios and install around your in-ground pool or make a larger outdoor living spaceFor installing around steps or flower-beds just use a wet masonry saw blade to cut and fit"
100027,"The UltraTouch 48 in. x 24 ft. Radiant Barrier is easy to use and install and is made from recycled natural fibers. The radiant barrier provides excellent thermal and acoustical insulation, reflecting up to 97% of radiant energy for excellent savings on heating and cooling costs.Reflects up to 97% of radiant energy, reducing heating and cooling costsEasy to use and installRecycled natural-fiber padding is durableBlanket-type, foil-faced insulation is lightweight and versatileExcellent acoustical performanceClass-A or Class-1 fire rating"
100028,"Reed fencing is a convenient and cost effective way to add texture and a dynamic aesthetic to your home and garden. This fencing is constructed from fresh water reed that grows abundantly along river banks, wetlands, and estuaries. The pre-assembled panels are carefully woven together by vinyl coated wire to ensure durability while remaining seamless. This lightweight material is perfect for easily covering unsightly structures such as old fencing, or it can add a tropical aesthetic to your landscape or pool area. Using reed fencing as a screen can also aid in enhancing privacy for your home and garden. Using renewable resources is an excellent way to aid in preserving our environment, the abundant growth rate of fresh water reed makes it an eco-friendly option.Fresh water reed has a rapid growth rate which makes it an eco-friendly optionEfficiently create a privacy screen for your home and yardProduct measures 1/8 in. Dia x 6 ft. high x 16 ft. longEasily connect additional panels by tying them together with wire"
100029,"Achieving a vintage, time-worn look is simple if you start with the right paint. With Americana DecorChalky Finish paint, creating beautiful home decor and furniture pieces does not require skills or hours of training. Make store-bought pieces or flea market finds look like they came from a European estate sale or a French countryside cottage by using Americana Decor Chalky Finish paint.Ultra-matte sheen that can be quickly customized with different waxes or varnishes that delivers a smooth, soft finish every timeOne coat coverage over most sealed surfaces and base colors - one can covers up to 120 sq. ft.Cleans easily with soap and waterNo need to use primer - reliable adhesion to most surfaces without sanding or using a layer of primerFinal packaging my varyClick Here to learn more about Chalky Finish PaintChalky Finish is also available in the following colorsOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT"
100030,"White Designer Shelf Brackets offer a stylish alternative to typical shelf brackets. They feature a seamless white, vinyl cover that is placed over the bracket bases to hide the hardware and provide a clean, simple look.Weight capacity of 100 lbs. per pair of brackets (when mounted into wall studs)Durable steel constructionSupports shelving to display home decor itemsEasy installation1 bracket and 1 vinyl cover includedNeutral color that blends in with any home decor styleSupports shelves that are 6 to 12 in. deep"
100031,"The Mosser Lee 5 lb. Assorted Polished Stone makes it easy to add an attractive look to container plants by covering the soil with decorative stones. The stones help make magnificent displays for water gardens and fountains and are also excellent for use in terrariums, aquariums, candle projects and many other decorative projects.Dress up indoor and outdoor container plants by covering the soil with polished stonesUse as a vase medium for artificial or live flowersCreate beautiful water-garden and fountain displaysExcellent for terrariums, aquariums, dish gardens, candle displays and a wide array of craft and decorative projectsContains a 5 lb. assortment of polished stonesNote: Product may vary by store."
100032,"The NorskWall NSNW4PK Panel Kit is an innovative modular system which allows users to add space to their garage wall as they need it. NorskWall panels have a patented Slatwall Kwik-Connect feature which allows each panel to quickly lock in place for easy installation. A single person can install NorskWall Panels, quickly adding storage to any space. The 4-piece kit covers 10 sq. ft. of wall space and comes with all of the screws and clips needed for installation. The wall system is compatible with hooks from many manufacturers. Our hooks and accessories are designed to handle heavier load specifications and our shelves, baskets and storage bags have more cubic feet of storage than any other product on the market giving you maximum storage and optimizing your storage space. NorskWall accessories are the most innovative wall storage products on the market.Versatile enough for the garage, basement, laundry room or for commercial display use in a retail store environmentFeatures patented kwik-connect technology for easy installationMade from heavy-duty PVCCovers 10 sq. ft.Quickly add wall storage to any space"
100033,"This easy-to-assemble Decorative Wire Chrome Finish Commercial Shelving Unit from HDX provides storage space for any room and purpose including commercial, industrial and residential use. The 6-tier shelving unit is made of tubular steel and wires coated with a durable chrome finish. All shelf heights are easily adjustable, and the unit can be assembled without any tools. Each shelf holds up to 600 lbs. when evenly distributed and features a total unit weight capacity of 3600 lbs. for optimal use in kitchens, pantries, utility rooms, warehouses and garages.Each shelf supports 600 lbs. when evenly distributed; total unit weight capacity is 3600 lbs.No tools required for easy assemblyTubular steel construction with durable chrome finish offers solid support for a variety of heavy-duty itemsPerfect storage solution for commercial or residential use in any room, office or jobsite6 fully adjustable shelves and legs help stabilize unit on uneven flooringNSF-certified for food storageNote: Product may vary by store."
100034,"Use the Marshalltown Masonry Brush for a wide variety of tasks, including your concrete, cement and masonry needs. The white Tampico fiber bristles are set in a hardwood block.Bristles are made of white Tampico fiberBristles are set in a hardwood blockUse for your concrete, cement and masonry needsUse for a variety of other tasks"
100035,"The FirsTime Champagne Essential wall clock is the perfect traditional timepiece for any wall in your home. It's classically modern while not dominating your home decor. Bring this timeless wall clock home today.Champagne plasticTraditional wall clock styleClassic white dial with Arabic numerals8.5 in. diameter"
100036,"This 12 in. Single Track Bracket from Rubbermaid mounts to single track uprights. It can be moved up or down to suit your unique storage and display needs. Coated with durable epoxy paint, the bracket has a smooth finish and is resistant to chipping or peeling. No tools are needed to attach the bracket; it fastens directly into the upright.No installation tools required; bracket attaches to your wall through a single track uprightDurable epoxy paint coating resists chipping and peelingDesigned to support medium- and light-duty shelvingCan be moved up or down along the upright to best meet your storage or display needs"
100037,"The Husky 9-Pocket Maintenance Pouch has multiple pockets and loops to hold tools and accessories. This durable little pouch will fit comfortably on most 2 in. wide work belts. It's ideal for doing small projects around your home or on a job site.3 main pockets and 6 tool pockets4 interior elastic loops for toolsT-chain tape holderMetal tape measure clipTool snapNote: product may vary by store"
100038,"RIDGID presents the X4 18-Volt 1/2 in. Impact Wrench as a console item. With console-only tools, you have the option to add on to existing kits to create your own. This compact and lightweight cordless tool delivers 325 ft. lbs. of torque to power through the most demanding applications and comes loaded with features such as exclusive grip light technology that engages the LED light simply by holding the tool, innovative Hex Grip for maximum comfort and a Tri-Beam LED for optimum illumination. Backed by RIDGID's lifetime service agreement, you can count on free batteries, free parts and free service for the entire life of your tool.Includes tool only to create your own kit; battery and charger sold separatelyHigh torque output produces 325 ft. lbs. for heavy-duty applicationsDie-cast gear box for increased durability and professional quality1/2 in. dent pin anvil makes it compatible with popular impact rated socketsHex Grip innovative micro-texture for secure grip and maximum user comfortGrip light engages Tri-Beam LED light independently of trigger to illuminate work spaceCordless design enables easy use and portability"
100039,"The Emberglow Vent-Free Gas Stove helps add warmth and ambiance to your home. The stove can heat up to 1,000 sq. ft. of space and features a thermostat control for easy temperature maintenance. The stove's oxygen depletion sensor and automatic shut-off feature help provide safety and its black metal casing can help add an enhanced look to your decor.Automatic thermostat can be set to the desired heat output and the system will automatically maintain that temperatureUnit has dual fuel technology which means it can be operated using natural gas or liquid propane99.9% energy efficient, the vent free design keeps 100% of the heat in your homeHand painted logs give this unit the most realistic look of a natural fireDual burner provides real yellow flames throughout the logsEquipped with a safety oxygen depletion sensor (O.D.S.) and automatic shut-offNo electricity required, great for use as supplemental heat during power outages"
100040,"With an exceptional variety of different styles, Veranda Pro Series vinyl privacy fence kit is perfect for the pro or the do-it-yourselfer. Our vinyl fence offers the perfect combination of high quality and low maintenance you have been looking for. The lightweight kit components make installation fast and easy. The Washington Pro Series Privacy fence panel kit allows you to easily add privacy and curb appeal to your home.Corresponding posts sold separately, use: Line post (Model #73014884), corner post (Model #73014886), end post (Model #73014885)5 in. x 5 in. post tops (Various styles available) attach easiest by using Veranda post top clips (Model #73014080)Vinyl privacy fence assembles in minutes without the use of brackets, fasteners or screwsCoordinating 4 ft. x 4 ft. walk gate (Model # 73014853), 4 ft. x 5 ft. drive gate (Model # 73014854)Tongue and groove boards fit together with no gap in between for true privacy in your yardPro series vinyl privacy fence kits contour to follow the slopes of your yardMade of durable, low maintenance vinylIncludes a transferable limited lifetime warranty"
100041,"The 12in LED Silver Under Cabinet Light (2-pack) offers an energy efficient under cabinet lighting option designed for illuminated kitchen countertops and other work surfaces. The high-quality low-profile housing can be easily hidden under cabinets. The two LED fixtures can be connected together for a total of 24 in. of 3000K (Bright White) illumination.Includes two 12 in. LED fixtures, an integral on/off/dimmer switch and 6-watt power supply plug-in cable, also includes one 12 in. low voltage connector cable to connect over gaps (mounting hardware also included)2 brightness level options (100% of 50%) achieved with the inline on/off/dimmer switch (not compatible with wall dimmers)Memory function of the in-line switch returns the light(s) to last brightness setting (100% or 50%) before unplugging (this feature is for those wishing to bypass dimming and control the kit via outlets connected to a wall on-off switch)6 watt power supply can only accommodate up two 12 in. LED fixtures, additional fixtures cannot be linked to 1 power supplyEasy installation with supplied mounting clips and screwsHome Depot Protection Plan:"
100042,"Update the look of your bathroom with help from the Cadet 3 FloWise No-Tools 2-piece High-Efficiency Round Front Toilet in Bone. The toilet offers a WaterSense-certified design that uses 1.28 GPF to help conserve water. Its EverClean surface helps inhibit the growth of stain- and odor-causing bacteria, mold and mildew.2-piece design features a separate tank and bowlRound front bowl for fit in smaller bathroomsWaterSense certified high-efficiency design uses 1.28 GPF for significant water savingsConstructed with durable vitreous china for cleaner, long-lasting useCadet 3 flushing system with 2-1/8 in. glazed trap way and oversized 3 in. flush valve for a powerful flushIncludes plastic seat and cover with EverClean surface, wax ring for easy installationEverClean surface helps inhibit growth of stain and odor-causing bacteria, mold and mildew5-year warrantyFeatures:Note: product may vary by store"
100043,"Quikrete 50 lb. Non-Shrink Precision Grout is a high strength, non-metallic, non-shrink grout designed for a variety of grouting and anchoring applications. It can be mixed to a plastic, flowable or fluid consistency based upon what the particular needs are on the jobsite.Used for general construction applications, for precision grouting and for keyway and base plate groutingSuitable for grouting pre-cast concrete, steel columns, anchoring applications and heavy equipmentCan be mixed to a plastic, flowable or fluid consistency30-minute set timeReaches strengths up to 14,000 PSIExceeds ASTM C 1107, R-3, and ASTM C 1107Note: Product may vary by store"
100044,"Create a fixture just about anywhere with this Westinghouse Lighting 4 in. x 8 in. White Clip-On Shade. The durable white acrylic dome goes well with most decors and filters soft light. The shade features a small brass finial at the bottom for a pleasant accent. Clip-on shades are a quick and easy way to transform a light bulb into a fixture. Clip a shade onto any A-shape bulb and instantly add a decorative touch--no wiring or tools required. The Westinghouse Lighting White Clip-On Shade measures 4 in. high x 8 in. in diameter.cETL listed for dry locations1-halogen G9 T4 40 watt max, 120-volt - not included 1-halogen GU10 MR16 50w max, 120-volt - not included1-halogen GU10 MR16 50 watt max, 120-volt - not includedPendant glass and shades"
